state,year,criminal_law,criminal_law_detailed
New Mexico,2002,No,No
New Mexico,2003,No,No
New Mexico,2004,No,No
New Mexico,2005,No,No
New Mexico,2006,No,No
New Mexico,2007,No,No
New Mexico,2008,No,No
New Mexico,2009,No,No
New Mexico,2010,No,No
New Mexico,2011,No,No
New Mexico,2012,No,No
New York,1994,No,No
New York,1995,No,No
New York,1996,No,No
New York,1997,No,No
New York,1998,No,No
New York,1999,No,No
New York,2000,No,No
New York,2001,No,No
New York,2002,No,No
New York,2003,No,No
New York,2004,No,No
New York,2005,No,No
New York,2006,No,No
New York,2007,No,No
New York,2008,No,No
New York,2009,No,No
New York,2010,No,No
New York,2011,No,No
New York,2012,No,No
North Carolina,1994,Yes,yes_all
North Carolina,1995,Yes,yes_all
North Carolina,1996,Yes,yes_all
North Carolina,1997,Yes,yes_all
North Carolina,1998,Yes,yes_all
North Carolina,1999,Yes,yes_all
North Carolina,2000,Yes,yes_all
North Carolina,2001,Yes,yes_all
North Carolina,2002,Yes,yes_all
North Carolina,2003,Yes,yes_all
North Carolina,2004,Yes,yes_all
North Carolina,2005,Yes,yes_all
North Carolina,2006,Yes,yes_all
North Carolina,2007,Yes,yes_all
North Carolina,2008,Yes,yes_all
North Carolina,2009,Yes,yes_all
North Carolina,2010,Yes,yes_all
North Carolina,2011,Yes,yes_all
North Carolina,2012,Yes,yes_all
North Dakota,1994,Yes,yes_all
North Dakota,1995,Yes,yes_all
North Dakota,1996,Yes,yes_all
North Dakota,1997,Yes,yes_all
North Dakota,1998,Yes,yes_all
North Dakota,1999,Yes,yes_all
North Dakota,2000,Yes,yes_all
North Dakota,2001,Yes,yes_all
North Dakota,2002,Yes,yes_all
North Dakota,2003,Yes,yes_all
North Dakota,2004,Yes,yes_all
North Dakota,2005,Yes,yes_all
North Dakota,2006,Yes,yes_all
North Dakota,2007,Yes,yes_all
North Dakota,2008,Yes,yes_all
North Dakota,2009,Yes,yes_all
North Dakota,2010,Yes,yes_all
North Dakota,2011,Yes,yes_all
North Dakota,2012,Yes,yes_all
Ohio,1994,Yes,yes_all
Ohio,1995,Yes,yes_all
Ohio,1996,Yes,yes_all
Ohio,1997,Yes,yes_all
Ohio,1998,Yes,yes_all
Ohio,1999,Yes,yes_all
Ohio,2000,Yes,yes_all
Ohio,2001,Yes,yes_all
Ohio,2002,Yes,yes_all
Ohio,2003,Yes,yes_all
Ohio,2004,Yes,yes_all
Ohio,2005,Yes,yes_all
Ohio,2006,Yes,yes_all
Ohio,2007,Yes,yes_all
Ohio,2008,Yes,yes_all
Ohio,2009,Yes,yes_all
Ohio,2010,Yes,yes_all
Ohio,2011,Yes,yes_all
Ohio,2012,Yes,yes_all
Oklahoma,1994,Yes,yes_all
Oklahoma,1995,Yes,yes_all
Oklahoma,1996,Yes,yes_all
Oklahoma,1997,Yes,yes_all
Oklahoma,1998,Yes,yes_all
Oklahoma,1999,Yes,yes_all
Oklahoma,2000,Yes,yes_all
Oklahoma,2001,Yes,yes_all
Oklahoma,2002,Yes,yes_all
Oklahoma,2003,Yes,yes_all
Oklahoma,2004,Yes,yes_all
Oklahoma,2005,Yes,yes_all
Oklahoma,2006,Yes,yes_all
Oklahoma,2007,Yes,yes_all
Oklahoma,2008,Yes,yes_all
Oklahoma,2009,Yes,yes_all
Oklahoma,2010,Yes,yes_all
Oklahoma,2011,Yes,yes_all
Oklahoma,2012,Yes,yes_all
Oregon,1994,No,No
Oregon,1995,No,No
Oregon,1996,No,No
Oregon,1997,No,No
Oregon,1998,No,No
Oregon,1999,No,No
Oregon,2000,No,No
Oregon,2001,No,No
Oregon,2002,No,No
Oregon,2003,No,No
Oregon,2004,No,No
Oregon,2005,No,No
Oregon,2006,No,No
Oregon,2007,No,No
Oregon,2008,No,No
Oregon,2009,No,No
Oregon,2010,No,No
Oregon,2011,No,No
Oregon,2012,No,No
Pennsylvania,1994,No,No
Pennsylvania,1995,No,No
Pennsylvania,1996,Yes,yes_all
Pennsylvania,1997,Yes,yes_all
Pennsylvania,1998,Yes,yes_all
Pennsylvania,1999,Yes,yes_all
Pennsylvania,2000,Yes,yes_all
